Top 5 Products,Image Link,About,Price ,Features,Category
boAt Airdopes 131,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/FeatureImagesAD1314XChargecopy2_800x.jpg?v=1674156020,"Sleek. Comfortable. Stylish. And a Splash of Incredible Colours. Bring alive your favourite sounds with these true wireless earbuds Equipped with 13mm drivers for the magical boAt signature sound. Designed for supreme ease with Insta Wake N’ Pair technology that auto connects the moment it’s out of the case and Type C Charging. Tws earbuds to drown all the sounds you don’t need and live every moment. With a battery capacity of 40mAh for each earbud, indulge in a blissful audio experience for up to 3 hours in a go. Tap into instant wireless functionality with optimum Bluetooth V5.0",Price in India: Rs. 999,"Headphone Type                      : In-Ear
HD Sound                                   : Yes
Bluetooth Version                    : V5.0+EDR
Driver Size                                  : 13mm x 2 Drivers
Bluetooth Profiles                    : HSP, HFP, A2DP, AVRCP
Frequency                                  : 20Hz-20KHz
Voice Assistant                         : Yes
Charging Voltage                      : 5VDC
Earphone battery capacity     : 3.7V, 40mAh x 2 buds
Talk time/music time               : 3 Hours per bud
Charging Time                            : 2 Hours
Standby Time                             : 100 Hours
Bluetooth Range                       : 10M
Country Of Origin                      : China",Wireless Earbuds
boAt Airdopes 141 ,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/grey_600x.png?v=1668599490,"Let the noise of the world drown as you jam to your rhythm with Airdopes 141. Equipped with 8mm drivers, these dope wireless earbuds make your playlist sound better with crystal clear audio quality and powerful bass. Experience seamless calling and be clearly heard with ENx™ Technology. That is not all,  ASAPTM Charge technology empowers you with 75 minutes of playback with just 5 minutes of charging. With IPX4 Sweat and Water Resistance, there's no stopping you from listening to your workout mix while breaking a sweat. Moreover, its IWPTM Technology and Quick Response Touch Controls ensure you can answer calls and switch music without interrupting your flow. Go ahead, your perfect audio match is right here.","Price in India: Rs. 1,499","Headphone Type                           : In-Ear
IPX Rating                                        : IPX4
Music Playtime                               : Upto 6 hours per charge and additional 36 hours with case
Standby                                            : 100H
Charging Technology                     : ASAP Fast Charge
Charging Time                                 : 1hr earbuds, 2hr case hours
Transmission Range                       : 10m
Driver Size                                        : 8mm*2
Frequency                                         : 20Hz-20KHz
Battery                                              : 600mAh (Case) 30mAh*2 (Earbuds)
Compatibility                                   : All Bluetooth Devices
Charging Interface                          :Type C
Country Of Origin                            : China",Wireless Earbuds
boAt Airdopes 121 v2,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/airdopes-121-v2-blue_600x.png?v=1612765376,"Plug into your sound with boAt Airdopes 121v2 True Wireless earbuds to enjoy your playlist in a truly wireless way. With Bluetooth v5.0 and Insta wake n' pair technology you just have to take out earbuds from the case and they automatically pair with your device in an instant. Its 380mAh carry cum charging case offers an additional playtime of up to 10.5 hours. With a battery capacity of 380mAh for each earbud, indulge in blissful audio experience for up to 3.5 hours per charge. The TWS Airdopes 121v2 comes equipped with 8mm drivers that pump out immersive sound. The stereo calling feature lets the user indulge in smooth and clear chats over calls. One can access the instant voice assistant by just a single press via the Multifunction Button control. It comes in three stylish colours: Active Black, Midnight Blue and Cherry Blossom to uplift the vibes like never before.","Price in India: Rs. 1,299","Headphone Type                    : In-Ear
HD Sound                                 : Yes
Bluetooth Version                  : V5.0+EDR
Driver Size                                : 8mm x 2 Drivers
Bluetooth Profiles                  : HSP, HFP, A2DP, AVRCP
Frequency                                 : 20Hz-20KHz
Operating Distance                 : 10 meters
Battery Charging Case            : 380 mAh
Earphone battery capacity    : 3.7V, 40mAh×2
Talk time/music time              : Up to 3.5H per Charge, Additional Up to 10.5H with Case
Charging Time                           : 2 Hours
Standby Time                             : 100 Hours
Bluetooth Range                       : 10M
Country Of Origin                      : China",Wireless Earbuds
boAt Airdopes 402,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/3b27aa2a-68ce-47db-a975-ffd5543393b6_600x.png?v=1625046357,"Ride through the highest waves of Nirvana on your boAt Airdopes 402 wireless earbuds. Drown in your favourite rhythm with its immersive 10mm drivers and boAt Signature Sound. Its IWP™? technology and Bluetooth v5.2 offers a seamless and truly wireless listening experience. Let nothing come in between you and your music with its massive 30HRS of playback. Even if you manage to exhaust your battery, ASAP charge empowers you with another 60 minutes of playback within 5 minutes of charge. Let your thoughts echo clear and loud with ENx™? technology that ensures crystal clear voice delivery. Navigating through your music and calls is a breeze with its Easy Touch Controls. Do it all and more with Airdopes 402","Price in India: Rs. 1,299","Headphone Type                       : In-Ear
IPX Rating                                   : IPX4
Bluetooth Profiles                    : HSP, HFP, A2DP and AVRCP
Driver Size                                  : 10mm
HD Sound                                   : Yes
Frequency                                  : 20Hz-20KHz
Battery Capacity (mAh)           : 3.7V, 45mAH×2
Playback Time                           : 30 Hours
Charging Time                            : 2 hour
Standby Time                             : 180 hours
Bluetooth Version                     : V5.2
Compatibility                             : All Bluetooth Devices
Bluetooth Range                       : 10M
Country Of Origin                      : China",Wireless Earbuds
boAt Airdopes 441,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/65d6142c-6a8d-44fa-ac59-e0b0b9e97b8b_600x.png?v=1625046016,"Plug Into Nirvana with boAt Airdopes 441 TWS earbuds to enjoy your music in a truly wireless way. It has the IWP (Insta Wake N’ Pair) Technology, meaning as soon as one opens the charging case lid, the best earbuds power on and enter connection mode. The TWS Airdopes 441 come equipped with 6mm drivers for immersive sound. It offers a seamless user experience via its capacitive touch controls","Price in India: Rs. 1,999","Headphone Type                       : In-Ear
HD Sound                                    : Yes
Bluetooth Version                     : V5.0+EDR
Driver Size                                   : 6mm x 2 Drivers
Bluetooth Profiles                     : HSP, HFP, A2DP, AVRCP
Frequency                                   : 20Hz-20KHz
Operating Distance                   : 10 meters
Water Proof                               : IPX 7
Earphone battery capacity      : 3.7V, 43mAH×2
Talk time/music time                : 5 Hours per bud
Charging Time                            : 1.5 Hours
Standby Time                             : 70 Hours
Bluetooth Range                       : 10M
Country Of Origin                      : China",Wireless Earbuds
boAt Aavante Bar 2050,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/aavante-bar-2050-1_600x.png?v=1613736302,"It is time for you to unleash the party animal in you with the Aavante Bar 2050. This powerful 80W bluetooth soundbar that comes with an 80W wireless subwoofer, to give you a cinematic audio experience from the comfort of your home. The 2.1 Channel Surround Sound will captivate you in a thrilling experience and will provide you with balanced sounds of every mode. The 160W premium RMS drivers will resonate the boAt Signature Sound like never before. With integrated controls and modes for every mood, make your life easier and adventurous as you bring the theatre home.","Sale price? 10,999","Speaker Type                                            : 2.1 Sound Bar With Subwoofer
Driver Type                                               : Digital Audio Power Amplifier
Driver Size                                                 : 5.715cm *4 SB + 16.51cm SW
No. Of Drivers                                          : 5
Impedance                                                : 4O*4+4O
Sensitivity (dB)                                          : SB: 800mV±50mV; SW: 400mV±50mV
Frequency Response                               : 45Hz-20KHz
Signal Noise Ratio                                    : = 72dB
Wireless Technology Type                      : Bluetooth
Bluetooth Version                                    : V5.0
Country Of Origin                                     : China
Compatibility                                             : All Bluetooth Devices
Bluetooth Range                                       : 10M",Home Theatre Systems & Soundbars
Aavante Bar 1160,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/aavante-bar-1160-1_600x.png?v=1613736230,"Discover a new level of immersive, cinematic audio experience at home with the boAt AAVANTE Bar 1160 Soundbar. A powerful 60 W total output that amplifies every aspect of your entertainment. The 2.0 channel sound system provides a balanced sound and deep bass for your movies, music and even video games and you can experience the cinematic sound that revolves around you. Stay plugged into the sound with an array of wired connections, and Bluetooth® wireless technology. Bring your home to life with the boAt AAVANTE Bar 1160.","Sale price? 5,299","Speaker Type                                       : 2.0 Sound Bar 
Driver Type                                           : Digital Audio Power Amplifier
Driver Size                                             : 5.715cm *4 SB
No. Of Drivers                                      : 4
Impedance                                            : 4O*2+6O
Sensitivity (dB)                                      : SB: 800mV±50mV
Frequency Response                           : 55Hz-20KHz
Signal Noise Ratio                                : = 72dB
Wireless Technology Type                 : Bluetooth
Bluetooth Version                                : 4.2
Country Of Origin                                 : China
Compatibility                                         : All Bluetooth Devices
Bluetooth Range                                   : 10M",Home Theatre Systems & Soundbars
boAt Aavante Bar 3100D,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/488e9857-20a2-4c4c-9ddd-c721cac17692_600x.png?v=1625046502,"The Aavante Bar 3100D offers a captivating experience like never before. The 260W RMS wired subwoofers will make sure you get a theatre like experience at home with boAt Signature HD Sound that offers extra thumping bass. The Dolby Digital technology and 5.1 Channel Surround Sound sets just the perfect setting for that final match. The Aavante 3100D Soundbar not only has easy access integrated controls but with its sleek design and premium finish, it is here to be a game changer.","Sale price? 14,999","Speaker Type                                                : 5.1 Sound Bar With Subwoofer
Driver Type                                                   : Digital Audio Power Amplifier
Driver Size                                                     : 5.715cm *5 SB + 16.51cm SW
No. Of Drivers                                              : 6
Impedance                                                    : 8O*5+4O
Sensitivity (dB)                                              : SB: 800mV±50mV; SW: 400mV±50mV
Frequency Response                                   : 80Hz-20KHz
Signal Noise Ratio                                        : = 72dB
Power (in Watts)                                          : 260W RMS
Bluetooth Version                                        : 5.0
Country Of Origin                                          : China
Compatibility                                                  : All Bluetooth Devices
Bluetooth Range                                            : 10M",Home Theatre Systems & Soundbars
boAt Aavante Bar 1700D,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/2f5f178c-00a0-496e-b178-4b32a8f0b38c_800x.png?v=1625046020,"It is time to experience the inexperienced and feel the unimaginable with the soundbar of your choice - Aavante 1700D. With Dolby Digital technology, immerse into 3D cinematic experience like never before. It is time to elevate to a different world with this High Definition Soundbar which comes with a wired subwoofer to deliver heavy bass along with the 120 watt RMS resonant sound. With multiple EQ Modes- Movie, News, Music and 3D, match the modes with your mood. With an air of sophistication, this elegant soundbar makes for a perfect style statement in any modern home..","Sale price? 9,999","Speaker Type                                                : 2.1 Sound Bar With Subwoofer
Driver Type                                                   : Digital Audio Power Amplifier
Driver Size                                                     : 5.715cm *4 SB + 16.51cm SW
No. Of Drivers                                              : 5
Impedance                                                    : 4O*2+4O
Sensitivity (dB)                                              : SB: 800mV±50mV; SW: 400mV±50mV
Frequency Response                                   : 80Hz-20KHz
Signal Noise Ratio                                        : = 72dB
Power (in Watts)                                          : 120W RMS
Bluetooth Version                                        : 5.0
Country Of Origin                                         : China
Compatibility                                                 : All Bluetooth Devices
Bluetooth Range                                           : 10M",Home Theatre Systems & Soundbars
boAt Aavante Bar 1500,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/main_dfed75ee-aa99-4c51-9e57-cb6d166529c8_600x.png?v=1633004696,"Discover a new level of immersive, cinematic audio experience at home with the boAt Aavante Soundbar. With a powerful 120W total output, a slim soundbar and versatile 2-way subwoofer brings every aspect of your entertainment be it a song, show, or movie to life in the volume and clarity it deserves. Drivers at each end of your soundbar deliver a clear mid and high range, while a 60 W subwoofer fills in the rumbling lows. The 2.1 channel home theatre sound system provides a balanced sound and deep bass for your movies, music, and even video games and you can experience the cinematic sound that revolves around you. Stay plugged into the sound with an array of wired connections, and Bluetooth wireless technology. Bring your home to life with the Aavante Soundbar.","Sale price? 9,499","Speaker Type                                                : 2.1 Sound Bar With Subwoofer
Driver Type                                                   : Digital Audio Power Amplifier
Driver Size                                                     : 5.715cm *4SB + 16.51cm SW
No. Of Drivers                                              : 5
Impedance                                                    : 4O*2+4O
Sensitivity (dB)                                              : SB: 800mV±50mV; SW: 400mV±50mV
Frequency Response                                   : 80Hz-20KHz
Signal Noise Ratio                                        : = 72dB
Wireless Technology Type                          : Bluetooth
Bluetooth Version                                        : 5.0
Country Of Origin                                         : China
Compatibility                                                : All Bluetooth Devices
Bluetooth Range                                          : 10M",Home Theatre Systems & Soundbars
